Club,Season,GW_Played,Goals_Scored,Goals_Conceded,Goal_Difference,Expenditure,Income,Net,Points,Points_per_GW,Expenditure_per_Point_per_GW,Manager,Owner,Champion,Relegated
AVL,2012,38,47,69,-22,-31.73,3.65,-28.08,41,1.078947368,-29.40829268,Lambert,Lerner,FALSE,FALSE
NEW,2012,38,45,68,-23,-36.44,16.87,-19.57,41,1.078947368,-33.77365854,Pardew,Ashley,FALSE,FALSE
SUN,2012,38,41,54,-13,-43.66,16.9,-26.76,39,1.026315789,-42.54051282,O_Neil,Short,FALSE,FALSE
WIG,2012,38,47,73,-26,-12.01,15.11,3.1,36,0.947368421,-12.67722222,Martinez,Sharpe,FALSE,TRUE
REA,2012,38,43,73,-30,-12.33,1.03,-11.3,28,0.736842105,-16.73357143,McDermott,Yongge,FALSE,TRUE
QPR,2012,38,30,60,-30,-57.40,5.15,-52.25,25,0.657894737,-87.248,Redknapp,Fernandes,FALSE,TRUE
MCI,2011,38,93,29,64,-103.80,35.57,-68.23,89,2.342105263,-44.31910112,Mancini,City_Football,TRUE,FALSE
MAN,2011,38,89,33,56,-71.02,15.73,-55.29,89,2.342105263,-30.32314607,Ferguson,Glazer,FALSE,FALSE
ARS,2011,38,74,49,25,-74.64,89.25,14.61,70,1.842105263,-40.51885714,Wenger,ITV_plc,FALSE,FALSE
TOT,2011,38,66,41,25,-10.77,49.31,38.54,69,1.815789474,-5.931304348,Redknapp,ENIC,FALSE,FALSE
NEW,2011,38,56,51,5,-29.70,18.29,-11.41,65,1.710526316,-17.36307692,Pardew,Ashley,FALSE,FALSE
CHE,2011,38,65,46,19,-109.95,36.94,-73.01,64,1.684210526,-65.2828125,Villas_Boas,Abramovich,FALSE,FALSE
EVE,2011,38,50,40,10,-8.21,30.55,22.34,56,1.473684211,-5.571071429,Moyes,Woods,FALSE,FALSE
LIV,2011,38,47,40,7,-75.84,26.11,-49.73,52,1.368421053,-55.42153846,Dalglish,Fenway,FALSE,FALSE
FUL,2011,38,48,51,-3,-20.63,8.74,-11.89,52,1.368421053,-15.07576923,Jol,Al-Fayed,FALSE,FALSE
WBA,2011,38,45,52,-7,-10.42,12.68,2.26,47,1.236842105,-8.424680851,Hodgson,Peace,FALSE,FALSE
SWA,2011,38,44,51,-7,-14.65,0.519,-14.131,47,1.236842105,-11.84468085,Rodgers,Nurse,FALSE,FALSE
NOR,2011,38,52,66,-14,-17.39,0.57,-16.82,47,1.236842105,-14.06,Lambert,Jones,FALSE,FALSE
SUN,2011,38,45,46,-1,-32.21,30.01,-2.2,45,1.184210526,-27.19955556,O_Neil,Short,FALSE,FALSE
STK,2011,38,36,53,-17,-28.27,2.26,-26.01,45,1.184210526,-23.87244444,Pulis,Coates,FALSE,FALSE
WIG,2011,38,42,62,-20,-14.11,12.86,-1.25,43,1.131578947,-12.46930233,Martinez,Sharpe,FALSE,FALSE
AVL,2011,38,37,53,-16,-23.18,49.87,26.69,38,1,-23.18,McLeish,Lerner,FALSE,FALSE
QPR,2011,38,43,66,-23,-29.90,3.19,-26.71,37,0.973684211,-30.70810811,Warnock,Fernandes,FALSE,FALSE
BOL,2011,38,46,77,-31,-17.78,18.62,0.84,36,0.947368421,-18.76777778,Coyle,Burnden_Leisure,FALSE,TRUE
BRO,2011,38,48,78,-30,-23.43,45.95,22.52,31,0.815789474,-28.72064516,Kean,Venky,FALSE,TRUE
WOL,2011,38,40,82,-42,-13.74,2.96,-10.78,25,0.657894737,-20.8848,McCarthy,Morgan,FALSE,TRUE
MAN,2010,38,78,37,41,-33.4,19.74,-13.66,80,2.105263158,-15.865,Ferguson,Glazer,TRUE,FALSE
CHE,2010,38,69,33,36,-138.51,18.81,-119.7,71,1.868421053,-74.13211268,Ancelotti,Abramovich,FALSE,FALSE
MCI,2010,38,60,33,27,-209.31,42.35,-166.96,71,1.868421053,-112.0250704,Mancini,City_Football,FALSE,FALSE
ARS,2010,38,72,43,29,-26.22,9.23,-16.99,68,1.789473684,-14.65235294,Wenger,ITV_plc,FALSE,FALSE
TOT,2010,38,55,46,9,-30.32,3.35,-26.97,62,1.631578947,-18.58322581,Redknapp,ENIC,FALSE,FALSE
LIV,2010,38,59,44,15,-111.18,115.71,4.53,58,1.526315789,-72.84206897,Hodgson,Fenway,FALSE,FALSE
EVE,2010,38,51,45,6,-1.94,7.52,5.58,54,1.421052632,-1.365185185,Moyes,Woods,FALSE,FALSE
FUL,2010,38,49,43,6,-12.6,14.38,1.78,49,1.289473684,-9.771428571,Hughes,Al-Fayed,FALSE,FALSE
AVL,2010,38,48,59,-11,-42.64,32.38,-10.26,48,1.263157895,-33.75666667,Houllier,Lerner,FALSE,FALSE
SUN,2010,38,45,56,-11,-33.17,47.62,14.45,47,1.236842105,-26.81829787,Bruce,Short,FALSE,FALSE
WBA,2010,38,56,71,-15,-15.77,0.969,-14.801,47,1.236842105,-12.75021277,Matteo,Peace,FALSE,FALSE
NEW,2010,38,56,57,-1,-15.94,47.6,31.66,46,1.210526316,-13.16782609,Pardew,Ashley,FALSE,FALSE
STK,2010,38,46,48,-2,-24.05,7.72,-16.33,46,1.210526316,-19.8673913,Pulis,Coates,FALSE,FALSE
BOL,2010,38,52,56,-4,-6.15,1.6,-4.55,46,1.210526316,-5.080434783,Coyle,Burnden_Leisure,FALSE,FALSE
BRO,2010,38,46,59,-13,-5.76,0.314,-5.446,43,1.131578947,-5.090232558,Kean,Venky,FALSE,FALSE
WIG,2010,38,40,61,-21,-13,3.88,-9.12,42,1.105263158,-11.76190476,Martinez,Sharpe,FALSE,FALSE
WOL,2010,38,46,66,-20,-23.05,7.34,-15.71,40,1.052631579,-21.8975,McCarthy,Morgan,FALSE,FALSE
BIR,2010,38,37,58,-21,-29.18,0.2,-28.98,39,1.026315789,-28.43179487,McLeish,Yeung,FALSE,TRUE
BPO,2010,38,55,78,-23,-6.53,0.798,-5.732,39,1.026315789,-6.362564103,Holloway,Oyston,FALSE,TRUE
WHU,2010,38,43,70,-27,-18.04,5.64,-12.4,33,0.868421053,-20.77333333,Grant,Sullivan,FALSE,TRUE
CHE,2009,38,103,32,71,-34.2,4.33,-29.87,86,2.263157895,-15.11162791,Ancelotti,Abramovich,TRUE,FALSE
MAN,2009,38,86,28,58,-31.12,119.09,87.97,85,2.236842105,-13.91247059,Ferguson,Glazer,FALSE,FALSE
ARS,2009,38,83,41,42,-13.68,54.38,40.7,75,1.973684211,-6.9312,Wenger,ITV_plc,FALSE,FALSE
TOT,2009,38,67,41,26,-45.94,36.14,-9.8,70,1.842105263,-24.93885714,Redknapp,ENIC,FALSE,FALSE
MCI,2009,38,73,45,28,-167.92,35.28,-132.64,67,1.763157895,-95.23820896,Mancini,City_Football,FALSE,FALSE
AVL,2009,38,52,39,13,-53.47,25.19,-28.28,64,1.684210526,-31.7478125,O_Neil,Lerner,FALSE,FALSE
LIV,2009,38,61,35,26,-49.59,55.35,5.76,63,1.657894737,-29.91142857,Benitez,Gillet,FALSE,FALSE
EVE,2009,38,60,49,11,-26.56,32.31,5.75,61,1.605263158,-16.54557377,Moyes,Woods,FALSE,FALSE
BIR,2009,38,38,47,-9,-22.86,0.456,-22.404,50,1.315789474,-17.3736,McLeish,Yeung,FALSE,FALSE
BRO,2009,38,41,55,-14,-15.14,41.78,26.64,50,1.315789474,-11.5064,Allardyce,Walter,FALSE,FALSE
STK,2009,38,34,48,-14,-29.7,7.41,-22.29,47,1.236842105,-24.01276596,Pulis,Coates,FALSE,FALSE
